Restaurant	Food	Decor	Service	East	Cheap
Supreme Macaroni Co.	17	14	17	0	1
Veronica	21	6	14	0	1
Arno	19	17	19	0	0
Amarone	19	15	18	0	1
Cara Mia	19	15	17	0	1
Casa Di Meglio	19	17	18	0	1
La Rivista	19	16	18	0	0
Trattoria Dopo Teatro	17	16	17	0	1
Barbetta	20	23	20	0	0
Becco	20	17	19	0	1
Coco Pazzo Teatro	18	18	17	0	0
Orso	22	18	20	0	0
Osteria al Doge	20	17	18	0	0
Pietrasanta	20	15	19	0	1
Rainbow Grill	19	23	18	0	0
Torre di Pisa	19	21	17	0	0
San Domenico	23	22	22	0	0
Trionfo	20	17	21	0	0
ViceVersa	22	22	20	0	0
Artusi	20	19	20	0	0
Ciao Europa	19	19	18	0	0
Limoncello	19	18	20	0	0
Puttanesca	19	15	17	0	1
Rino Trattoria	20	14	16	0	1
Sette MoMA	18	21	17	0	0
Trattoria Del Sogno	21	18	19	0	1
Castellano	21	18	20	0	0
Circo Osteria del	22	24	21	0	0
Giovanni	22	19	21	0	0
Palio	22	25	22	0	0
Remi	23	23	21	0	0
Tuscan Square	19	20	17	0	0
Vago Ristorante	22	21	23	0	0
Bello	21	17	20	0	1
Caffe Cielo	18	17	18	0	1
Da Tommaso	21	16	20	0	0
Il Tinello	23	19	23	0	0
Nocello	21	19	20	0	1
Tino's	20	18	18	0	0
Mangia e Bevi	17	14	16	0	1
Patsy's	20	16	19	0	0
Gabriel's	22	19	21	0	0
Pappardella	18	16	17	0	1
Ernie's	16	15	16	0	1
Pomodoro Rosso	20	17	19	0	1
Scaletta	21	19	22	0	0
La Grolla, Ristorante	21	15	19	0	0
Sambuca, Trattoria	19	16	18	0	1
Baci	17	15	16	0	1
Puccini	20	16	17	0	1
Bella Luna	18	16	17	0	1
Métisse	22	17	21	0	1
Gennaro	24	10	16	0	1
